college,location,university,course_offered,ownership_type,phone_number,email,university_encoded,ownership_encoded,location_encoded
Thames International College,"Surya Bikram Gyawali Marg, Old Baneshwor, Kathmandu",Tribhuvan University,Bachelor of Business Administration (BBA) Bachelor of Information Management (BIM) Bachelor of Arts in Social Work (BASW) Bachelor of Business Studies (BBS) Bachelor of Computer Application (BCA) Bachelor of Business Management (BBM) Bachelor of Arts in Psychology (BPSy) Bachelor of Arts in Rural Development (BRD) Bachelor of Arts in Journalism and Mass Communication (BAJM) Bachelor of Arts in Sociology (BA Sociology) Master of Business Studies (MBS) CMAT Entrance Preparation BCA Entrance Preparation,private Institution,"01-4464584, 01-4465660",admissions@thamescollege.edu.np,34,3,900
Texas International College,"Mitrapark, Chabhil, Kathmandu",Tribhuvan University,BSc Computer Science and Information Technology (BSc CSIT) Bachelor of Computer Application (BCA) Bachelor of Business Studies (BBS) Bachelor of Arts in Social Work (BASW) Bachelor of Business Management (BBM) Bachelor of Arts (BA) Master of Business Studies (MBS),private Institution,"01-4579017, 01-4490670, 01-4488627",enquiry@texasintl.edu.np,34,3,649
King's College,"Babar Mahal, Kathmandu","Westcliff University, CA, USA",Bachelor in Business Administration (BBA) BBA Digital Marketing BBA Investment and Economics BBA Applied Arts and Design Bachelor of Science in Information Technology - Data Science (BSIT Data Science) Master in Business Administration (MBA) MBA Entrepreneurship MBA Nonprofit MBA Agribusiness MBA Technology and Innovation MBA Data Analytics Transform Your Online Teaching Emotional Intelligence Mindset Immers-ED: A Design Approach to Problem Solving,private Institution,"01-5325909 , 01-5324520 , 015324574",admissions@kingscollege.edu.np,40,3,28
Padmashree College,"Tinkune, Kathmandu",Tribhuvan University,Bachelor of Information Technology (BIT) BA (Hons) in Business and Hospitality Management (BABHM) Bachelor of Computer Application (BCA) Bachelor of Food Technology (BTech Food),private Institution,"01-4112252 , 01-4112403",padmashreecollege@gmail.com,34,3,948
Janamaitri Multiple Campus,"Kuleshwor, Kathmandu",National Examinations Board,Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Humanities (+2 Humanities) Ten Plus Two (+2) Education (+2 Education) Bachelor of Business Studies (BBS) Bachelor of Business Management (BBM) Bachelor of Computer Application (BCA) Bachelor of Arts (BA) Bachelor of Arts in Social Work (BASW) Bachelor of Education (BEd) Bachelor of Education in Information Communication Technology (BICTE) Master of Business Studies (MBS) Master of Education General (M.Ed),community Institution,015377202,info@janamaitri.edu.np,24,1,533
Nepal College of Information Technology,"Balkumari, Lalitpur",Pokhara University,Bachelor of Business Administration (BBA) Bachelor of Civil Engineering Bachelor of Engineering in Information Technology (BE IT) Bachelor of Software Engineering Bachelor of Electronics and Communication Engineering (BE) Bachelor of Computer Engineering (BE Computer) Bachelor of Computer Application (BCA) Master of Computer Information Systems (MCIS) Master of Computer Engineering MSc in Computer Science,private Institution,"01-5186354 , 01-5186358 , 01-5186360",info@ncit.edu.np,28,3,56
Khwopa College,"Dekocha-6, Bhaktapur",Tribhuvan University,MSc Environmental Science Master of Business Studies (MBS) MA in English (MA English) MA in Economics (MA Economics) Bachelor of Business Management (BBM) BSc Environmental Science BSc Physics Bachelor of Business Studies (BBS) Bachelor of Arts in Social Work (BASW) Bachelor of Arts (BA),community Institution,"01-6610932 , 01- 6618031",info@khwopacollege.edu.np,34,1,266
International School of Tourism and Hotel Management (IST College),"Gyaneshwor, Opposite to German Embassy, Kathmandu",Salzburg University of Applied Sciences,FHS Diploma in Hotel Management (BHM) FHS Diploma in Travel and Tourism Management (BTTM) 10+2 Management - National Examination Board and Tourism School Salzburg Austria,private Institution,"01-4534350, 01-4534185",sanindra@ist.org.np,31,3,396
Certified College of Accountancy (CCA),"Thapagaun, New Baneshwor, Kathmandu",ACCA,ACCA (ACCA) Foundations in Accountancy (FIA) (FIA),private Institution,01-5245126,cca.nepal@gmail.com,0,3,931
KIST College & SS,"Kamalpokhari, Kathmandu",National Examinations Board,Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Science (+2 Science) Bachelor of Business Administration (BBA) Bachelor of Information Management (BIM) Bachelor of Information Technology (BIT) Bachelor of Business Studies (BBS) BSc Microbiology Master of Business Studies (MBS) MSc Microbiology Master of Information Technology (MIT),private Institution,"01-4534990, 01-4534178",info@kist.edu.np,24,3,470
